# RD-05 Stratologger 2016-05-06
# t(s)	h (m)
30.85	2108.9112
30.9	2106.7776
30.95	2107.0824
31	2104.9488
31.05	2106.168
31.1	2105.2536
31.15	2103.4248
31.2	2103.4248
31.25	2100.9864
31.3	2100.6816
31.35	2100.072
31.4	2097.9384
31.45	2097.6336
31.5	2097.9384
31.55	2097.3288
31.6	2095.1952
31.65	2093.6712
31.7	2091.2328
31.75	2090.3184
31.8	2091.2328
31.85	2090.928
31.9	2091.5376
31.95	2089.0992
32	2088.1848
32.05	2085.1368
32.1	2084.5272
32.15	2083.308
32.2	2085.1368
32.25	2081.1744
32.3	2084.5272
32.35	2079.6504
32.4	2081.1744
32.45	2079.0408
32.5	2081.1744
32.55	2079.0408
32.6	2077.212
32.65	2077.212
32.7	2075.9928
32.75	2075.0784
32.8	2074.164
32.85	2074.164
32.9	2071.7256
32.95	2071.4208
33	2070.8112
33.05	2069.2872
33.1	2070.8112
33.15	2070.5064
33.2	2068.068
33.25	2067.1536
33.3	2066.544
33.35	2066.2392
33.4	2066.2392
33.45	2066.2392
33.5	2066.544
33.55	2063.1912
33.6	2063.1912
33.65	2062.2768
33.7	2062.2768
33.75	2061.6672
33.8	2061.0576
33.85	2060.7528
33.9	2060.448
33.95	2061.0576
34	2059.8384
34.05	2059.8384
34.1	2059.5336
34.15	2058.6192
34.2	2058.924
34.25	2057.7048
34.3	2057.0952
34.35	2057.0952
34.4	2057.4
34.45	2057.0952
34.5	2056.4856
34.55	2056.1808
34.6	2056.1808
34.65	2055.5712
34.7	2054.9616
34.75	2055.2664
34.8	2055.2664
34.85	2054.352
34.9	2053.7424
34.95	2053.7424
35	2053.4376
35.05	2053.4376
35.1	2052.5232
35.15	2052.5232
35.2	2053.4376
35.25	2051.9136
35.3	2050.6944
35.35	2050.9992
35.4	2051.6088
35.45	2050.3896
35.5	2050.0848
35.55	2049.78
35.6	2049.1704
35.65	2048.5608
35.7	2048.8656
35.75	2049.1704
35.8	2047.9512
35.85	2047.0368
35.9	2047.0368
35.95	2046.732
36	2046.732
36.05	2045.8176
36.1	2046.4272
36.15	2046.1224
36.2	2045.208
36.25	2045.208
36.3	2044.5984
36.35	2044.5984
36.4	2044.5984
36.45	2044.2936
36.5	2042.7696
36.55	2042.7696
36.6	2042.7696
36.65	2043.0744
36.7	2042.7696
36.75	2041.5504
36.8	2041.2456
36.85	2041.5504
36.9	2040.3312
36.95	2040.636
37	2039.7216
37.05	2039.7216
37.1	2039.112
37.15	2039.4168
37.2	2038.8072
37.25	2039.4168
37.3	2038.1976
37.35	2038.1976
37.4	2037.588
37.45	2037.2832
37.5	2036.9784
37.55	2036.3688
37.6	2036.6736
37.65	2036.3688
37.7	2035.7592
37.75	2035.4544
37.8	2035.4544
37.85	2035.1496
37.9	2034.8448
37.95	2034.8448
38	2034.2352
38.05	2033.6256
38.1	2033.6256
38.15	2033.016
38.2	2033.016
38.25	2032.1016
38.3	2032.4064
38.35	2031.492
38.4	2031.1872
38.45	2031.1872
38.5	2030.8824
38.55	2029.968
38.6	2030.2728
38.65	2029.968
38.7	2029.6632
38.75	2029.6632
38.8	2029.3584
38.85	2028.7488
38.9	2028.444
38.95	2028.1392
39	2027.5296
39.05	2026.6152
39.1	2026.3104
39.15	2026.6152
39.2	2026.3104
39.25	2026.0056
39.3	2026.3104
39.35	2026.0056
39.4	2025.7008
39.45	2026.0056
39.5	2024.4816
39.55	2024.7864
39.6	2023.872
39.65	2023.872
39.7	2023.872
39.75	2022.9576
39.8	2022.9576
39.85	2021.7384
39.9	2022.348
39.95	2022.0432
40	2022.0432
40.05	2021.7384
40.1	2021.1288
40.15	2021.4336
40.2	2020.824
40.25	2021.1288
40.3	2020.5192
40.35	2019.6048
40.4	2020.2144
40.45	2018.6904
40.5	2018.9952
40.55	2019.6048
40.6	2018.3856
40.65	2018.0808
40.7	2018.3856
40.75	2017.4712
40.8	2018.0808
40.85	2017.1664
40.9	2017.1664
40.95	2016.5568
41	2016.8616
41.05	2015.9472
41.1	2016.252
41.15	2015.9472
41.2	2015.6424
41.25	2015.6424
41.3	2014.728
41.35	2014.1184
41.4	2014.4232
41.45	2014.1184
41.5	2014.1184
41.55	2013.204
41.6	2013.5088
41.65	2012.5944
41.7	2012.5944
41.75	2012.8992
41.8	2012.5944
41.85	2011.9848
41.9	2012.2896
41.95	2011.68
42	2011.68
42.05	2010.156
42.1	2010.7656
42.15	2010.4608
42.2	2010.156
42.25	2010.156
42.3	2009.5464
