#Netuno-R-B/Galateia-4			LT 20 Nov 2022		StratoLoggerCF (SL-9)
#t(s)	h (m)
31.1	165.5064
31.15	165.5064
31.2	165.5064
31.25	169.164
31.3	172.5168
31.35	173.736
31.4	172.8216
31.45	171.6024
31.5	169.164
31.55	166.116
31.6	165.5064
31.65	166.4208
31.7	166.4208
31.75	166.4208
31.8	165.2016
31.85	164.592
31.9	163.3728
31.95	162.4584
32	160.9344
32.05	159.4104
32.1	156.972
32.15	155.7528
32.2	155.1432
32.25	154.5336
32.3	153.924
32.35	153.6192
32.4	153.3144
32.45	153.3144
32.5	157.5816
32.55	159.1056
32.6	158.8008
32.65	158.1912
32.7	156.972
32.75	153.0096
32.8	149.9616
32.85	148.7424
32.9	148.1328
32.95	147.5232
33	146.6088
33.05	145.3896
33.1	146.6088
33.15	145.6944
33.2	143.8656
33.25	143.5608
33.3	145.0848
33.35	145.6944
33.4	153.0096
33.45	153.3144
33.5	152.4
33.55	152.7048
33.6	145.3896
33.65	141.4272
33.7	140.8176
33.75	140.208
33.8	140.5128
33.85	142.6464
33.9	143.8656
33.95	142.9512
34	142.6464
34.05	142.6464
34.1	142.6464
34.15	142.0368
34.2	139.9032
34.25	137.4648
34.3	135.3312
34.35	134.4168
34.4	134.4168
34.45	132.8928
34.5	132.2832
34.55	132.2832
34.6	131.3688
34.65	131.9784
34.7	131.064
34.75	134.4168
34.8	138.3792
34.85	137.7696
34.9	137.7696
34.95	137.16
35	135.3312
35.05	132.8928
35.1	132.2832
35.15	132.588
35.2	133.1976
35.25	132.8928
35.3	131.064
35.35	126.7968
35.4	124.6632
35.45	122.8344
35.5	121.92
35.55	121.92
35.6	121.92
35.65	121.92
35.7	123.7488
35.75	127.4064
35.8	128.6256
35.85	127.7112
35.9	124.3584
35.95	120.396
36	118.872
36.05	118.2624
36.1	117.9576
36.15	119.7864
36.2	121.6152
36.25	121.6152
36.3	119.4816
36.35	117.348
36.4	116.1288
36.45	114.3
36.5	114.3
36.55	113.0808
36.6	113.6904
36.65	113.3856
36.7	112.1664
36.75	111.252
36.8	111.252
36.85	110.9472
36.9	110.9472
36.95	113.9952
37	118.2624
37.05	119.4816
37.1	118.5672
37.15	118.2624
37.2	116.1288
37.25	113.3856
37.3	110.9472
37.35	110.0328
37.4	109.4232
37.45	106.9848
37.5	105.156
37.55	103.9368
37.6	102.7176
37.65	102.4128
37.7	102.108
37.75	102.108
37.8	102.108
37.85	102.4128
37.9	104.8512
37.95	106.3752
38	105.156
38.05	101.1936
38.1	99.9744
38.15	99.9744
38.2	99.06
38.25	98.4504
38.3	103.632
38.35	106.68
38.4	105.4608
38.45	104.8512
38.5	103.632
38.55	101.8032
38.6	99.3648
38.65	99.6696
38.7	100.2792
38.75	99.06
38.8	95.4024
38.85	91.7448
38.9	91.44
38.95	90.8304
39	90.5256
39.05	89.6112
39.1	88.6968
39.15	88.392
39.2	89.3064
39.25	89.6112
39.3	89.6112
39.35	89.3064
39.4	90.2208
39.45	89.6112
39.5	89.916
39.55	89.916
39.6	90.5256
39.65	91.1352
39.7	90.5256
39.75	90.5256
39.8	90.2208
39.85	89.916
39.9	88.392
39.95	87.4776
40	86.5632
40.05	85.0392
40.1	83.5152
40.15	82.9056
40.2	81.9912
40.25	81.3816
40.3	78.6384
40.35	77.1144
40.4	76.5048
40.45	77.1144
40.5	76.5048
40.55	76.2
40.6	75.8952
40.65	75.5904
40.7	75.2856
40.75	74.676
40.8	74.9808
40.85	74.0664
40.9	74.0664
40.95	74.0664
41	74.676
41.05	74.676
41.1	76.2
41.15	77.4192
41.2	77.724
41.25	77.724
41.3	76.5048
41.35	75.5904
41.4	75.2856
41.45	75.2856
41.5	74.3712
41.55	72.8472
41.6	71.9328
41.65	71.9328
41.7	72.2376
41.75	71.628
41.8	69.7992
41.85	67.056
41.9	64.9224
41.95	63.3984
42	62.7888
42.05	62.484
42.1	61.8744
42.15	61.5696
42.2	60.6552
42.25	60.0456
42.3	60.0456
42.35	59.436
42.4	58.8264
42.45	58.2168
42.5	57.6072
42.55	60.0456
42.6	61.5696
42.65	61.2648
42.7	60.0456
42.75	56.6928
42.8	54.864
42.85	54.2544
42.9	53.9496
42.95	53.6448
43	52.7304
43.05	52.7304
43.1	52.1208
43.15	51.816
43.2	51.816
43.25	52.4256
43.3	52.4256
43.35	53.0352
43.4	53.6448
43.45	54.864
43.5	55.7784
43.55	55.1688
43.6	54.864
43.65	53.9496
43.7	52.7304
43.75	50.9016
43.8	49.9872
43.85	48.768
43.9	47.244
43.95	45.1104
44	44.196
44.05	43.5864
44.1	43.8912
44.15	43.8912
44.2	45.4152
44.25	46.9392
44.3	46.9392
44.35	45.72
44.4	43.8912
44.45	42.0624
44.5	39.9288
44.55	39.0144
44.6	38.1
44.65	36.8808
44.7	36.576
44.75	35.3568
44.8	35.3568
44.85	35.3568
44.9	34.4424
44.95	33.8328
45	34.1376
45.05	33.2232
45.1	32.004
45.15	32.3088
45.2	32.9184
45.25	31.6992
45.3	32.6136
45.35	35.9664
45.4	35.052
45.45	32.004
45.5	29.5656
45.55	29.5656
45.6	28.6512
45.65	28.3464
45.7	28.0416
45.75	28.6512
45.8	33.528
45.85	36.576
45.9	36.2712
45.95	35.052
46	32.6136
46.05	28.0416
46.1	25.6032
46.15	24.6888
46.2	24.384
46.25	25.2984
46.3	25.2984
46.35	25.2984
46.4	24.6888
46.45	23.7744
46.5	22.2504
46.55	20.1168
46.6	19.2024
46.65	18.8976
46.7	18.288
46.75	18.5928
46.8	17.3736
46.85	18.5928
46.9	22.2504
46.95	23.7744
47	23.7744
47.05	21.9456
47.1	19.5072
47.15	19.2024
47.2	20.4216
47.25	21.0312
47.3	21.336
47.35	20.7264
47.4	19.5072
47.45	17.3736
47.5	16.1544
47.55	14.3256
47.6	11.5824
47.65	9.7536
47.7	9.144
47.75	8.8392
47.8	7.9248
47.85	10.0584
47.9	12.4968
47.95	12.4968
48	10.668
48.05	8.2296
48.1	7.0104
48.15	6.096
48.2	7.0104
48.25	8.2296
48.3	9.4488
48.35	9.4488
48.4	8.8392
48.45	8.5344
48.5	7.62
48.55	7.3152
48.6	7.0104
48.65	6.7056
48.7	6.7056
48.75	6.4008
48.8	6.4008
48.85	5.1816
48.9	4.572
48.95	1.524
49	-0.6096
49.05	-2.1336
49.1	-2.1336
49.15	-2.1336
49.2	-1.8288
49.25	-0.9144
49.3	-0.3048
49.35	-1.2192
49.4	-3.3528
49.45	-4.572
49.5	-4.572
49.55	-4.572
49.6	-3.9624
49.65	-1.8288
49.7	-2.7432
49.75	-4.2672
49.8	-4.2672
49.85	-1.524
49.9	-0.3048
49.95	-2.7432
50	-7.3152
50.05	-6.4008
50.1	-1.2192
50.15	-7.9248
50.2	-12.192
50.25	-10.9728
50.3	-5.7912
50.35	-1.2192
50.4	-1.2192
50.45	-2.1336
50.5	-2.1336
50.55	-3.9624
50.6	-5.1816
50.65	-6.4008
50.7	-6.7056
50.75	-7.0104
50.8	-6.7056
50.85	-6.7056
50.9	-6.7056
50.95	-6.7056
51	-6.7056
51.05	-6.7056
51.1	-6.7056
51.15	-7.0104
51.2	-6.7056
51.25	-6.7056
51.3	-6.4008
51.35	-6.7056
51.4	-6.7056
51.45	-6.7056
51.5	-6.7056
51.55	-7.0104
51.6	-7.0104
51.65	-6.4008
51.7	-6.4008
51.75	-6.7056
51.8	-6.7056
51.85	-6.7056
51.9	-6.7056
51.95	-6.7056
52	-6.096
52.05	-6.4008
52.1	-6.7056
52.15	-6.7056
52.2	-6.7056
52.25	-6.7056
52.3	-7.0104
52.35	-6.7056
52.4	-6.7056
52.45	-6.4008
52.5	-7.0104
52.55	-7.0104
52.6	-6.7056
52.65	-6.4008
52.7	-6.4008
52.75	-6.7056
52.8	-6.4008
52.85	-6.7056
52.9	-6.4008
52.95	-6.096
53	-6.7056
53.05	-6.7056
53.1	-6.096
53.15	-6.7056
53.2	-6.7056
53.25	-6.7056
53.3	-6.7056
53.35	-7.0104
53.4	-7.0104
53.45	-6.7056
53.5	-6.4008
53.55	-6.4008
53.6	-7.0104
53.65	-6.7056
53.7	-6.4008
53.75	-6.7056
53.8	-6.7056
53.85	-6.4008
53.9	-6.7056
53.95	-6.4008
54	-7.3152
54.05	-7.0104
54.1	-6.7056
54.15	-6.7056
54.2	-6.7056
