# Netuno-F/Galateia-1			LT 12 Jun 2022		StratoLoggerCF (SL-8)	
#t(s)	h (m)
32.5	109.1184
32.55	108.5088
32.6	108.5088
32.65	108.204
32.7	107.2896
32.75	106.68
32.8	106.3752
32.85	105.7656
32.9	104.8512
32.95	104.8512
33	104.5464
33.05	104.2416
33.1	104.8512
33.15	103.9368
33.2	103.632
33.25	103.0224
33.3	101.8032
33.35	102.108
33.4	101.1936
33.45	100.584
33.5	100.584
33.55	100.584
33.6	100.2792
33.65	100.584
33.7	99.3648
33.75	99.06
33.8	98.1456
33.85	98.1456
33.9	97.536
33.95	97.2312
34	96.3168
34.05	96.012
34.1	95.7072
34.15	94.7928
34.2	94.488
34.25	94.7928
34.3	94.1832
34.35	93.5736
34.4	93.2688
34.45	92.964
34.5	92.3544
34.55	92.3544
34.6	91.7448
34.65	91.1352
34.7	90.8304
34.75	90.8304
34.8	90.8304
34.85	89.916
34.9	89.3064
34.95	89.3064
35	88.392
35.05	87.7824
35.1	87.4776
35.15	87.1728
35.2	86.868
35.25	86.2584
35.3	85.6488
35.35	86.2584
35.4	85.344
35.45	85.0392
35.5	84.7344
35.55	84.4296
35.6	84.7344
35.65	84.4296
35.7	84.1248
35.75	83.5152
35.8	82.296
35.85	82.296
35.9	81.3816
35.95	81.0768
36	81.3816
36.05	80.4672
36.1	80.772
36.15	80.1624
36.2	79.5528
36.25	78.6384
36.3	79.248
36.35	79.248
36.4	78.3336
36.45	77.724
36.5	78.0288
36.55	76.5048
36.6	76.2
36.65	75.8952
36.7	75.5904
36.75	74.9808
36.8	74.676
36.85	74.676
36.9	74.0664
36.95	73.152
37	73.152
37.05	72.2376
37.1	71.628
37.15	71.0184
37.2	71.3232
37.25	71.0184
37.3	71.3232
37.35	71.0184
37.4	70.4088
37.45	70.104
37.5	68.8848
37.55	68.58
37.6	68.58
37.65	67.9704
37.7	67.6656
37.75	66.4464
37.8	66.7512
37.85	66.4464
37.9	66.7512
37.95	66.1416
38	65.8368
38.05	64.9224
38.1	64.9224
38.15	64.3128
38.2	63.7032
38.25	63.7032
38.3	62.7888
38.35	62.1792
38.4	61.8744
38.45	61.8744
38.5	61.2648
38.55	60.6552
38.6	60.6552
38.65	59.7408
38.7	60.0456
38.75	58.8264
38.8	59.1312
38.85	58.5216
38.9	58.2168
38.95	57.3024
39	57.912
39.05	56.9976
39.1	56.9976
39.15	56.388
39.2	55.7784
39.25	55.1688
39.3	55.1688
39.35	54.2544
39.4	53.6448
39.45	53.34
39.5	53.34
39.55	52.4256
39.6	52.7304
39.65	52.1208
39.7	51.2064
39.75	51.2064
39.8	50.9016
39.85	50.292
39.9	50.292
39.95	49.6824
40	49.0728
40.05	49.3776
40.1	47.5488
40.15	46.9392
40.2	47.244
40.25	46.6344
40.3	46.3296
40.35	45.72
40.4	45.4152
40.45	46.0248
40.5	45.1104
40.55	44.8056
40.6	44.8056
40.65	44.5008
40.7	43.2816
40.75	43.8912
40.8	42.3672
40.85	42.0624
40.9	41.148
40.95	40.8432
41	41.148
41.05	41.4528
41.1	40.5384
41.15	40.5384
41.2	39.3192
41.25	39.0144
41.3	38.4048
41.35	38.4048
41.4	37.4904
41.45	36.576
41.5	36.8808
41.55	36.576
41.6	37.1856
41.65	36.576
41.7	35.6616
41.75	35.052
41.8	34.7472
41.85	34.7472
41.9	34.1376
41.95	34.1376
42	33.528
42.05	32.9184
42.1	32.3088
42.15	32.6136
42.2	32.6136
42.25	31.6992
42.3	31.6992
42.35	31.0896
42.4	30.48
42.45	30.1752
42.5	28.6512
42.55	28.956
42.6	28.6512
42.65	28.3464
42.7	28.0416
42.75	28.6512
42.8	28.956
42.85	27.7368
42.9	27.432
42.95	26.5176
43	25.908
43.05	25.2984
43.1	25.2984
