# Atom GFRJ-UFRJ-Canalle-2018-8-20
# t(s)	h (m)	
46.95	2174.392
47.95	2164.392
48.95	2154.392
49.95	2144.392
50.95	2134.392
51.95	2124.392
52.95	2114.392
53.95	2104.392
54.95	2094.392
55.95	2084.392
56.95	2074.392
57.95	2064.392
58.95	2054.392
59.95	2044.392
60.95	2034.392
61.95	2024.392
62.95	2014.392
63.95	2004.392
64.95	1994.392
65.95	1984.392
66.95	1974.392
67.95	1964.392
68.95	1954.392
69.95	1944.392
70.95	1934.392
71.95	1924.392
72.95	1914.392
73.95	1904.392
74.95	1894.392
75.95	1884.392
76.95	1874.392
77.95	1864.392
78.95	1854.392
79.95	1844.392
80.95	1834.392
81.95	1824.392
82.95	1814.392
83.95	1804.392
84.95	1794.392
85.95	1784.392
86.95	1774.392
87.95	1764.392
88.95	1754.392
89.95	1744.392
90.95	1734.392
91.95	1724.392
92.95	1714.392
93.95	1704.392
94.95	1694.392
95.95	1684.392
96.95	1674.392
97.95	1664.392
98.95	1654.392
99.95	1644.392
100.95	1634.392
101.95	1624.392
102.95	1614.392
103.95	1604.392
104.95	1594.392
105.95	1584.392
106.95	1574.392
107.95	1564.392
108.95	1554.392
109.95	1544.392
110.95	1534.392
111.95	1524.392
112.95	1514.392
113.95	1504.392
114.95	1494.392
115.95	1484.392
116.95	1474.392
117.95	1464.392
118.95	1454.392
119.95	1444.392
120.95	1434.392
121.95	1424.392
122.95	1414.392
123.95	1404.392
124.95	1394.392
125.95	1384.392
126.95	1374.392
127.95	1364.392
128.95	1354.392
129.95	1344.392
130.95	1334.392
131.95	1324.392
132.95	1314.392
133.95	1304.392
134.95	1294.392
135.95	1284.392
136.95	1274.392
137.95	1264.392
138.95	1254.392
139.95	1244.392
140.95	1234.392
141.95	1224.392
142.95	1214.392
143.95	1204.392
144.95	1194.392
145.95	1184.392
146.95	1174.392
147.95	1164.392
148.95	1154.392
149.95	1144.392
150.95	1134.392
151.95	1124.392
152.95	1114.392
153.95	1104.392
154.95	1094.392
155.95	1084.392
156.95	1074.392
157.95	1064.392
158.95	1054.392
159.95	1044.392
160.95	1034.392
161.95	1024.392
162.95	1014.392
163.95	1004.392
164.95	994.392
165.95	984.392
166.95	974.392
167.95	964.392
168.95	954.392
169.95	944.392
170.95	934.392
171.95	924.392
172.95	914.392
173.95	904.392
174.95	894.392
175.95	884.392
176.95	874.392
177.95	864.392
178.95	854.392
179.95	844.392
180.95	834.392
181.95	824.392
182.95	814.392
183.95	804.392
184.95	794.392
185.95	784.392
186.95	774.392
187.95	764.392
188.95	754.392
189.95	744.392
190.95	734.392
191.95	724.392
192.95	714.392
193.95	704.392
194.95	694.392
195.95	684.392
196.95	674.392
197.95	664.392
198.95	654.392
199.95	644.392
200.95	634.392
201.95	624.392
202.95	614.392
203.95	604.392
204.95	594.392
205.95	584.392
206.95	574.392
207.95	564.392
208.95	554.392
209.95	544.392
210.95	534.392
211.95	524.392
212.95	514.392
213.95	504.392
214.95	494.392
215.95	484.392
216.95	474.392
217.95	464.392
218.95	454.392
219.95	444.392
220.95	434.392
221.95	424.392
222.95	414.392
223.95	404.392
224.95	394.392
225.95	384.392
226.95	374.392
227.95	364.392
228.95	354.392
229.95	344.392
230.95	334.392
231.95	324.392
232.95	314.392
233.95	304.392
234.95	294.392
235.95	284.392
236.95	274.392
237.95	264.392
238.95	254.392
239.95	244.392
240.95	234.392
241.95	224.392
242.95	214.392
243.95	204.392
244.95	194.392
245.95	184.392
246.95	174.392
247.95	164.392
248.95	154.392
249.95	144.392
250.95	134.392
251.95	124.392
252.95	114.392
253.95	104.392
254.95	94.392
255.95	84.392
256.95	74.392
257.95	64.392
258.95	54.392
259.95	44.392
260.95	34.392
261.95	24.392
262.95	14.392
263.95	4.392
	
	
	
	
	
	
	
	
	
	
