#Saturno-Alfa-2/Titã-3			LT 29 Jan 2023		StratoLoggerCF (SL-8)
#t(s)	h (m)
22.05	909.828
22.1	908.9136
22.15	908.6088
22.2	907.0848
22.25	907.3896
22.3	907.0848
22.35	906.1704
22.4	905.5608
22.45	904.6464
22.5	904.3416
22.55	904.0368
22.6	903.732
22.65	904.0368
22.7	904.0368
22.75	903.4272
22.8	903.4272
22.85	902.208
22.9	901.2936
22.95	900.9888
23	900.0744
23.05	899.4648
23.1	898.5504
23.15	897.9408
23.2	897.3312
23.25	897.0264
23.3	896.112
23.35	894.8928
23.4	895.1976
23.45	894.588
23.5	893.6736
23.55	893.3688
23.6	892.7592
23.65	892.1496
23.7	891.54
23.75	891.2352
23.8	890.9304
23.85	890.3208
23.9	889.7112
23.95	888.7968
24	888.492
24.05	890.3208
24.1	890.3208
24.15	887.5776
24.2	887.2728
24.25	886.968
24.3	887.2728
24.35	886.6632
24.4	885.7488
24.45	885.1392
24.5	883.6152
24.55	882.7008
24.6	882.396
24.65	880.872
24.7	879.9576
24.75	879.348
24.8	878.7384
24.85	879.0432
24.9	878.1288
24.95	878.1288
25	877.824
25.05	877.824
25.1	877.824
25.15	877.5192
25.2	877.5192
25.25	876.9096
25.3	875.9952
25.35	875.0808
25.4	873.5568
25.45	872.6424
25.5	872.0328
25.55	871.4232
25.6	870.204
25.65	870.204
25.7	869.8992
25.75	870.8136
25.8	869.8992
25.85	867.7656
25.9	867.7656
25.95	866.8512
26	865.632
26.05	864.4128
26.1	864.108
26.15	864.4128
26.2	864.4128
26.25	864.4128
26.3	865.0224
26.35	863.4984
26.4	863.1936
26.45	861.9744
26.5	861.06
26.55	859.8408
26.6	859.536
26.65	858.9264
26.7	859.536
26.75	860.4504
26.8	859.536
26.85	858.012
26.9	857.0976
26.95	855.5736
27	854.3544
27.05	853.44
27.1	853.1352
27.15	852.8304
27.2	852.8304
27.25	852.2208
27.3	852.8304
27.35	852.2208
27.4	850.6968
27.45	849.1728
27.5	849.1728
27.55	848.5632
27.6	848.868
27.65	849.7824
27.7	849.4776
27.75	849.4776
27.8	848.2584
27.85	845.5152
27.9	845.5152
27.95	844.296
28	843.3816
28.05	843.6864
28.1	843.9912
28.15	843.6864
28.2	843.3816
28.25	842.4672
28.3	841.5528
28.35	840.6384
28.4	839.1144
28.45	838.2
28.5	837.2856
28.55	836.676
28.6	836.0664
28.65	836.9808
28.7	835.7616
28.75	835.7616
28.8	837.2856
28.85	835.152
28.9	834.5424
28.95	833.3232
29	832.4088
29.05	831.7992
29.1	831.1896
29.15	830.8848
29.2	830.2752
29.25	829.9704
29.3	829.9704
29.35	829.9704
29.4	830.2752
29.45	830.8848
29.5	829.6656
