#Netuno-F/Galateia-2			LT 28 Ago 2022		StratoLoggerCF (SL-9)	
#t(s)	h (m)
26.2	200.8632
26.25	200.8632
26.3	200.2536
26.35	200.2536
26.4	199.9488
26.45	199.9488
26.5	199.3392
26.55	199.644
26.6	198.7296
26.65	197.8152
26.7	197.2056
26.75	196.9008
26.8	196.2912
26.85	196.596
26.9	195.9864
26.95	195.6816
27	195.6816
27.05	195.6816
27.1	194.7672
27.15	194.7672
27.2	194.7672
27.25	194.1576
27.3	193.8528
27.35	193.2432
27.4	193.2432
27.45	192.6336
27.5	192.6336
27.55	192.3288
27.6	191.7192
27.65	191.4144
27.7	191.1096
27.75	190.1952
27.8	189.8904
27.85	189.8904
27.9	189.5856
27.95	188.6712
28	189.5856
28.05	189.2808
28.1	188.6712
28.15	188.6712
28.2	187.1472
28.25	187.452
28.3	186.8424
28.35	186.5376
28.4	186.2328
28.45	185.3184
28.5	185.6232
28.55	185.0136
28.6	185.0136
28.65	184.0992
28.7	184.0992
28.75	183.4896
28.8	184.0992
28.85	182.88
28.9	183.1848
28.95	182.5752
29	181.6608
29.05	181.0512
29.1	180.4416
29.15	180.4416
29.2	181.0512
29.25	180.7464
29.3	179.832
29.35	179.2224
29.4	178.9176
29.45	178.9176
29.5	178.6128
29.55	178.0032
29.6	177.6984
29.65	177.3936
29.7	176.784
29.75	176.784
29.8	176.784
29.85	176.1744
29.9	175.8696
29.95	175.8696
30	174.6504
30.05	174.6504
30.1	174.6504
30.15	174.0408
30.2	173.736
30.25	173.1264
30.3	173.1264
30.35	172.8216
30.4	171.9072
30.45	171.6024
30.5	171.6024
30.55	171.9072
30.6	171.2976
30.65	170.9928
30.7	170.688
30.75	169.4688
30.8	168.8592
30.85	168.5544
30.9	168.5544
30.95	168.5544
31	168.5544
31.05	167.64
31.1	167.64
31.15	167.0304
31.2	166.7256
31.25	166.4208
31.3	166.116
31.35	165.8112
31.4	165.5064
31.45	164.8968
31.5	165.5064
31.55	164.592
31.6	163.9824
31.65	164.8968
31.7	164.2872
31.75	163.068
31.8	163.6776
31.85	162.7632
31.9	162.7632
31.95	161.8488
32	161.8488
32.05	161.2392
32.1	160.9344
32.15	161.2392
32.2	160.02
32.25	160.02
32.3	159.7152
32.35	159.1056
32.4	158.8008
32.45	158.496
32.5	157.8864
32.55	157.8864
32.6	157.5816
32.65	157.2768
32.7	156.3624
32.75	156.0576
32.8	156.6672
32.85	156.3624
32.9	156.0576
32.95	155.448
33	154.8384
33.05	154.8384
33.1	154.2288
33.15	154.2288
33.2	153.6192
33.25	153.0096
33.3	153.3144
33.35	153.3144
33.4	153.0096
33.45	152.7048
33.5	151.7904
33.55	151.4856
33.6	151.7904
33.65	151.1808
33.7	150.2664
33.75	150.876
33.8	150.2664
33.85	149.6568
33.9	149.6568
33.95	149.0472
34	147.828
34.05	147.5232
34.1	146.9136
34.15	147.5232
34.2	146.9136
34.25	146.304
34.3	146.6088
34.35	146.304
34.4	145.6944
34.45	145.6944
34.5	144.78
34.55	144.1704
34.6	143.5608
